,group,id,NL-JP,NL-SI,NL-TL,NL-AN,M-JP,M-SI,M-TL,M-AN,comments
0,B,02f10e19-83e5-48a3-be35-5258e2e89c1a,4,2,5,1,4,3,5,1,"Most of the time with the Superimposition technique for NL, it was not possible to recognize all the edges because it was too ""crowded"", but if there would be less vertices I think the Superimposition technique would be easier to read than the Juxtaposition technique. For matrices, I found the superimposition technique better than the juxtaposition because the information was more compact, easier to read and you didn't have to look back and forth all the time. Furthermore I personally would prefer the Timeline in any case over the Animation, because you have to look at everything much more stressed during the animation and if you miss something you have to watch the whole animation again to see the part that you missed again. In addition, the timeline is much more relaxed because you can determine how long you want to view a certain diagram and you can jump back and forth between diagrams with one click to see differences There were in generel way too much vertices, so it took quite long to find a solution for the questions."
1,B,031203103,5,4,5,1,3,4,3,1,"I really hated the animations, it's not possible to focus and the 7 seconds are in most cases way too little time, the other once worked fine. The Juxtaposition stuff next to each other and the Timeline on the Node Model worked best for me"
2,B,037605fd-b893-4885-b04a-8e9c2bed8a1a,5,2,3,1,3,5,2,1,"The Superimposition was sometimes hard to read, especially in very dense graphs. For tasks of set- changes it was sometimes difficult to arrange the graph in a way that all connections where visible at the same time. "
3,B,0befb8c4-1848-4e6e-8ab6-ffbaac29d2c9,4,3,5,2,4,5,5,1,"it depends if I am searching for cliques (more nodes) or just for ""meetings"" between 2 nodes. Searching for correlation between more than 2 nodes is easier with NL"
4,B,0d215911-e63c-46ad-a063-653b709f8253,5,2,4,2,3,4,4,1,"Animations seemed really impractical for the exercises since you can not keep working on one graph and in some of the problems you could not start working on another graph before finishing the previous one since it would have been way too much information to handle. The only upside to it was that I had to work efficiently since i only had a certain amount of time at my disposal for a every graph (I often had to wait for the graph to show up again since i couldnt finish the exercise in time though which costs time again). The JP- and TL-Graphs were the most comfortable ones for me. JP-Graphs were more comfortable with NL-Visualizations since it was easier to orient myself in the next graph again. SI seemed to work well with Matrices, because I didnt have to reorient myself in the new graphs again since everything was shown in one matrix. However, SI-Visualizations with NL-Graphs got too crowded for me and therefore it was hard to identify the exercise's solution properly."
5,A,0fe0c9f2-4f5c-44ab-933d-f0b25f7bbe47,1,3,5,2,1,3,5,2,it was rather difficult to have a clear overwiew when solving the tasks with the matrix. Maybe it was just me but I had to search the given nodes multiple times per question. Marking them would have been helpful unless it was  intentionally not marked.
6,A,0fe7f4ab-a8ea-4ad4-8cba-eae780c2226c,2,1,5,3,1,4,3,1,"For most of the tasks it was neccessary to draw another visual representation myself because the model was too small (JP in general), the model was not easily readable (big M representations) or the model was cluttered and I had no means to manipulate it to get a better view of the problem (NL+SI representations) Edit: I discovered that the assist system for manipulating the views was broken in my test instance"
7,B,1039ad57-5293-4af8-acce-89edd244cc7a,3,4,5,4,2,1,2,3,I thought that in general the node link graph visualisation was just much more easy to understand and to extract information from.
8,B,11655a9f-0f86-4b85-9229-3215e4a4e536,4,3,4,5,4,3,4,5,-
9,B,11834541,3,4,3,2,1,4,2,1,"For me, the matrix graph visualizations have been more difficult than the node-link especially because of the name of the nodes. It was difficult for me to find them because there were for instance KX42 and KB81 so very alike and the matrix was big so I often chose the wrong column or line. The superimposition is in my opinion the one with the most visibility maybe because of the colors it was easy for me to follow. 
The animation technique was the most complicated (matrix and node-link)because the maximum time was of 7 seconds and it is not enough to check all edges between nodes especially when we had to check the maximum clique. 
I prefer the node-link diagrams because I can see the edges better and get the overall image. Sometimes when the edges are over others, I did pick them with the mouse and they were moving so I could get another view of them and see the information I needed. "
